scale,subscale,n_items,n,M,SD,min_obs,max_obs,alpha,interitem_r,note
PHQ-4,Anxiety,2,146,1.85,0.92,0,3,NA,0.792,"2-item subscale; alpha not reported, see interitem_r"
PHQ-4,Depression,2,146,1.42,0.93,0,3,NA,0.588,"2-item subscale; alpha not reported, see interitem_r"
MAIA-2,MAIA,24,146,2.91,0.5,1.5,4.08,0.813,NA,
MAIA-2,MAIA_Noticing,3,146,2.54,0.88,0.67,4,0.64,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_NotDistract,3,146,4.81,0.96,3,7,0.801,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_NotWorry,3,146,4.81,1.1,3,7,0.837,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_AttentionReg,3,146,2.11,0.91,0,4,0.826,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_EmoAware,3,146,2.67,1.02,0,4,0.852,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_SelfReg,3,146,2.1,0.96,0,4,0.782,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_BodyListen,3,146,1.72,0.95,0,4,0.788,NA,3-item subscale; alpha interpreted with caution
MAIA-2,MAIA_Trust,3,146,2.53,1.02,0,4,0.869,NA,3-item subscale; alpha interpreted with caution
BARQ-R,BARQ,12,146,1.61,0.43,0.58,2.58,0.71,NA,
SPANE,Pos,6,146,3.4,0.65,1.5,5,0.825,NA,
SPANE,Neg,6,146,3.1,0.71,1.5,5,0.799,NA,
Wellbeing,Wellbeing,8,146,5.34,0.98,1,7,0.732,NA,
BIPS,Stress,9,146,3.84,0.61,2.33,5,0.826,NA,
