study_id,id,Group,Block,TrialNum,EventNum,NumericChangeType,TotalRateChange,Change,Accuracy,Arousal,Confidence,TrackACC,StepSize,reversalCount,DetectedChange,DetectedEarly,age,Sex,Direction
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,1,4,1,0.5,0.5,1,21,30,84,0.1,0,0.82033535600763796,TRUE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,2,5,-1,0.5,-0.5,1,28,35,82,0.1,0,1.18978278948439,TRUE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,3,6,0,0.5,0,0,23,23,86,0.1,0,1,TRUE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,4,7,0,0.5,0,1,27,23,87,0.1,0,1,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,5,8,-1,0.5,-0.5,1,30,36,84,0.1,0,1.2607343233213599,TRUE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,6,9,1,0.5,0.5,1,29,41,87,0.1,0,0.74299714456847399,TRUE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,7,10,1,0.5,0.5,1,36,39,85,0.1,0,0.67295009631617797,TRUE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,8,11,-1,0.5,-0.5,1,19,19,70,0.1,0,1.33591698253543,TRUE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,9,12,-1,0.5,-0.5,1,35,32,81,0.1,0,1.5,TRUE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,10,13,0,0.5,0,1,35,22,86,0.1,0,1,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,11,14,1,0.5,0.5,1,37,42,89,0.1,0,0.82033535600763796,TRUE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskB,Circle2,12,15,0,0.5,0,0,35,31,78,0.1,0,1,TRUE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,1,17,0,0.5,0,1,34,18,81,0.1,0,0,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,2,18,0,0.5,0,1,34,29,86,0.1,0,0,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,3,19,1,0.4,0.4,1,40,47,88,0.1,0,0,FALSE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,4,20,-1,0.4,-0.4,1,35,35,82,0.1,0,0,FALSE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,5,21,1,0.3,0.3,1,38,46,83,0.1,0,0,FALSE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,6,22,-1,0.3,-0.3,1,37,30,82,0.1,0,0,FALSE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,7,23,0,0.2,0,1,35,36,84,0.1,0,0,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,8,24,-1,0.2,-0.2,0,31,30,84,0.1,0,0,FALSE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,9,25,0,0.3,0,1,33,35,88,0.1,1,0,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,10,26,-1,0.2,-0.2,0,35,16,80,0.1,1,0,FALSE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,11,27,-1,0.3,-0.3,1,35,35,83,0.05,0,0,FALSE,32,Male,Faster
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,12,28,1,0.3,0.3,1,34,46,84,0.05,0,0,FALSE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,13,29,1,0.25,0.25,1,40,43,88,0.05,0,0,FALSE,32,Male,Slower
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,14,30,0,0.25,0,1,24,17,76,0.05,0,0,FALSE,32,Male,NoChange
1,5e3e11a36a0b8a000c609d5e,TaskA,Circle1,15,31,1,0.2,0.2,1,33,37,87,0.05,0,0,FALSE,32,Male,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,1,4,-1,0.5,-0.5,1,31,29,83,0.1,0,0,FALSE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskA,Circle1,2,5,1,0.5,0.5,1,11,48,87,0.1,0,0,FALSE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,3,6,1,0.4,0.4,1,6,32,88,0.1,0,0,FALSE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,4,7,0,0.4,0,1,30,22,84,0.1,0,0,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskA,Circle1,5,8,0,0.3,0,0,33,28,82,0.1,0,0,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskA,Circle1,6,9,-1,0.4,-0.4,1,34,39,84,0.1,1,0,FALSE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskA,Circle1,7,10,1,0.4,0.4,1,17,29,90,0.1,1,0,FALSE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,8,11,1,0.3,0.3,1,7,39,88,0.1,1,0,FALSE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,9,12,-1,0.3,-0.3,1,37,32,88,0.1,1,0,FALSE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskA,Circle1,10,13,0,0.2,0,0,38,34,90,0.1,1,0,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskA,Circle1,11,14,0,0.3,0,0,40,35,80,0.05,0,0,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskA,Circle1,12,15,1,0.35,0.35,1,22,42,92,0.05,0,0,FALSE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskA,Circle1,13,16,-1,0.35,-0.35,1,42,39,87,0.05,0,0,FALSE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskA,Circle1,14,17,-1,0.3,-0.3,0,38,30,90,0.05,1,0,FALSE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskA,Circle1,15,18,0,0.35,0,0,30,33,92,0.05,1,0,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskB,Circle2,1,20,0,0.5,0,1,24,50,88,0.1,0,1,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskB,Circle2,2,21,0,0.5,0,0,27,35,85,0.1,0,1,TRUE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskB,Circle2,3,22,-1,0.5,-0.5,1,33,38,84,0.1,0,1.5,TRUE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskB,Circle2,4,23,1,0.5,0.5,1,27,40,89,0.1,0,0.67295009631617797,TRUE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskB,Circle2,5,24,0,0.5,0,1,29,42,89,0.1,0,1,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskB,Circle2,6,25,-1,0.5,-0.5,1,32,33,89,0.1,0,1.5,TRUE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskB,Circle2,7,26,-1,0.5,-0.5,1,35,36,91,0.1,0,1.5894510340005701,TRUE,21,Female,Faster
1,60026ffbf37ef427e9384f56,TaskB,Circle2,8,27,1,0.5,0.5,1,31,39,89,0.1,0,0.60950682710223802,TRUE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskB,Circle2,9,28,0,0.5,0,1,33,32,90,0.1,0,1,FALSE,21,Female,NoChange
1,60026ffbf37ef427e9384f56,TaskB,Circle2,10,29,1,0.5,0.5,1,34,39,92,0.1,0,0.55204475683690601,TRUE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskB,Circle2,11,30,1,0.5,0.5,1,37,41,89,0.1,0,0.5,TRUE,21,Female,Slower
1,60026ffbf37ef427e9384f56,TaskB,Circle2,12,31,-1,0.5,-0.5,1,38,31,83,0.1,0,1.6842363929903299,FALSE,21,Female,Faster
1,5fb624035aa84626a8ad3ef4,TaskB,Circle2,1,4,-1,0.5,-0.5,1,35,38,91,0.1,0,1.2607343233213599,TRUE,18,Male,Faster
