study_id,id,TrialNum,EventNum,NumericChangeType,TotalRateChange,Change,Accuracy,Arousal,Confidence,TrackACC,StepSize,reversalCount,age,Sex,Direction
2,5755c957eb80c4000741a9ce,1,5,1,0.6,0.6,1,15,50,92,0.1,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,2,6,0,0.6,0,1,19,33,89,0.1,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,3,7,1,0.5,0.5,1,14,47,91,0.1,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,4,8,0,0.5,0,1,14,35,90,0.1,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,5,9,-1,0.4,-0.4,1,23,45,89,0.1,0,38,Male,Faster
2,5755c957eb80c4000741a9ce,6,10,-1,0.4,-0.4,1,27,29,88,0.1,0,38,Male,Faster
2,5755c957eb80c4000741a9ce,7,11,-1,0.3,-0.3,1,21,22,88,0.1,0,38,Male,Faster
2,5755c957eb80c4000741a9ce,8,12,0,0.3,0,1,18,34,85,0.1,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,9,13,1,0.2,0.2,1,18,32,89,0.1,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,10,14,1,0.2,0.2,1,14,29,91,0.1,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,11,15,0,0.1,0,1,13,22,88,0.1,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,12,16,-1,0.1,-0.1,1,21,17,83,0.1,0,38,Male,Faster
2,5755c957eb80c4000741a9ce,13,17,1,0.01,0.01,0,14,18,89,0.1,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,14,18,-1,0.11,-0.11,0,13,29,89,0.1,1,38,Male,Faster
2,5755c957eb80c4000741a9ce,15,19,-1,0.21,-0.21,0,9,20,89,0.1,1,38,Male,Faster
2,5755c957eb80c4000741a9ce,16,20,1,0.31,0.31,1,12,38,89,0.1,1,38,Male,Slower
2,5755c957eb80c4000741a9ce,17,21,0,0.31,0,1,14,32,90,0.1,1,38,Male,NoChange
2,5755c957eb80c4000741a9ce,18,22,-1,0.21,-0.21,1,21,31,87,0.05,0,38,Male,Faster
2,5755c957eb80c4000741a9ce,19,23,1,0.21,0.21,1,16,33,89,0.05,0,38,Male,Slower
2,5755c957eb80c4000741a9ce,20,24,0,0.16,0,0,17,14,90,0.05,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,21,25,-1,0.21,-0.21,0,15,28,91,0.05,1,38,Male,Faster
2,5755c957eb80c4000741a9ce,22,26,-1,0.26,-0.26,1,18,31,88,0.05,1,38,Male,Faster
2,5755c957eb80c4000741a9ce,23,27,1,0.26,0.26,1,15,30,90,0.05,1,38,Male,Slower
2,5755c957eb80c4000741a9ce,24,28,0,0.21,0,0,12,19,90,0.025,0,38,Male,NoChange
2,5755c957eb80c4000741a9ce,25,29,0,0.235,0,1,10,22,84,0.025,0,38,Male,NoChange
2,605de3af48d7a575adb95b09,1,5,-1,0.6,-0.6,1,31,35,82,0.1,0,21,Male,Faster
2,605de3af48d7a575adb95b09,2,6,0,0.6,0,1,23,33,83,0.1,0,21,Male,NoChange
2,605de3af48d7a575adb95b09,3,7,1,0.5,0.5,1,15,42,92,0.1,0,21,Male,Slower
2,605de3af48d7a575adb95b09,4,8,1,0.5,0.5,1,15,31,91,0.1,0,21,Male,Slower
2,605de3af48d7a575adb95b09,5,9,0,0.4,0,1,9,43,84,0.1,0,21,Male,NoChange
2,605de3af48d7a575adb95b09,6,10,1,0.4,0.4,0,16,33,88,0.1,0,21,Male,Slower
2,605de3af48d7a575adb95b09,7,11,1,0.5,0.5,1,8,29,92,0.1,1,21,Male,Slower
2,605de3af48d7a575adb95b09,8,12,1,0.4,0.4,1,11,24,88,0.1,1,21,Male,Slower
2,605de3af48d7a575adb95b09,9,13,-1,0.4,-0.4,1,31,39,84,0.1,1,21,Male,Faster
2,605de3af48d7a575adb95b09,10,14,0,0.3,0,1,27,41,36,0.1,1,21,Male,NoChange
2,605de3af48d7a575adb95b09,11,15,0,0.3,0,1,26,30,92,0.1,1,21,Male,NoChange
2,605de3af48d7a575adb95b09,12,16,-1,0.2,-0.2,0,30,44,89,0.1,1,21,Male,Faster
2,605de3af48d7a575adb95b09,13,17,-1,0.3,-0.3,0,30,32,86,0.05,0,21,Male,Faster
2,605de3af48d7a575adb95b09,14,18,0,0.35,0,1,30,40,90,0.05,0,21,Male,NoChange
2,605de3af48d7a575adb95b09,15,19,-1,0.35,-0.35,1,36,41,90,0.05,0,21,Male,Faster
2,605de3af48d7a575adb95b09,16,20,0,0.3,0,1,24,34,94,0.05,1,21,Male,NoChange
2,605de3af48d7a575adb95b09,17,21,-1,0.3,-0.3,1,30,30,85,0.05,1,21,Male,Faster
2,605de3af48d7a575adb95b09,18,22,-1,0.25,-0.25,0,22,24,87,0.05,1,21,Male,Faster
2,605de3af48d7a575adb95b09,19,23,0,0.3,0,0,22,29,90,0.025,0,21,Male,NoChange
2,605de3af48d7a575adb95b09,20,24,-1,0.325,-0.325,1,37,49,93,0.025,0,21,Male,Faster
2,605de3af48d7a575adb95b09,21,25,1,0.325,0.325,1,15,50,93,0.025,0,21,Male,Slower
2,605de3af48d7a575adb95b09,22,26,1,0.3,0.3,1,15,44,92,0.025,1,21,Male,Slower
2,605de3af48d7a575adb95b09,23,27,-1,0.3,-0.3,1,31,23,84,0.025,1,21,Male,Faster
2,605de3af48d7a575adb95b09,24,28,1,0.275,0.275,1,20,36,88,0.025,1,21,Male,Slower
2,605de3af48d7a575adb95b09,25,29,0,0.275,0,1,29,29,94,0.025,1,21,Male,NoChange
2,602bbb43cfca8a33d87378c7,1,5,0,0.6,0,1,35,42,95,0.1,0,22,Male,NoChange
2,602bbb43cfca8a33d87378c7,2,6,1,0.6,0.6,1,37,48,94,0.1,0,22,Male,Slower
2,602bbb43cfca8a33d87378c7,3,7,-1,0.5,-0.5,1,38,49,92,0.1,0,22,Male,Faster
2,602bbb43cfca8a33d87378c7,4,8,0,0.5,0,1,36,49,93,0.1,0,22,Male,NoChange
2,602bbb43cfca8a33d87378c7,5,9,1,0.4,0.4,1,37,46,93,0.1,0,22,Male,Slower
2,602bbb43cfca8a33d87378c7,6,10,0,0.4,0,0,39,34,95,0.1,0,22,Male,NoChange
2,602bbb43cfca8a33d87378c7,7,11,-1,0.5,-0.5,1,41,42,96,0.1,1,22,Male,Faster
2,602bbb43cfca8a33d87378c7,8,12,-1,0.4,-0.4,0,37,38,96,0.1,1,22,Male,Faster
2,602bbb43cfca8a33d87378c7,9,13,0,0.5,0,0,39,33,95,0.05,0,22,Male,NoChange
2,602bbb43cfca8a33d87378c7,10,14,0,0.55,0,1,38,46,97,0.05,0,22,Male,NoChange
