Pnum,n_runs,runs_completed,has_questionnaire,flag_single_run,excluded,exclusion_reason
11111,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16261,2,Breath Misattribution | Second Breath Misattribution,FALSE,FALSE,FALSE,no_questionnaire_data
16271,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16283,2,Breath Misattribution | Second Breath Misattribution,FALSE,FALSE,FALSE,no_questionnaire_data
16300,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16323,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16327,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16360,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16376,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16395,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16493,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16496,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16498,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16502,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16504,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16514,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16518,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16521,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16522,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16524,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16527,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16528,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16531,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16533,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16537,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16539,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16542,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16544,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16545,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16546,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16548,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16549,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16550,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16554,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16555,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16559,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16561,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16563,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16566,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16573,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16577,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16579,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16580,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16607,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16611,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16643,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16671,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16677,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
16718,1,Breath Misattribution,TRUE,TRUE,FALSE,single_run_flagged
17348,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17351,2,Breath Misattribution | Second Breath Misattribution,FALSE,FALSE,FALSE,no_questionnaire_data
17353,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17360,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17363,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17366,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17367,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17368,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17370,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17384,2,Breath Misattribution | Second Breath Misattribution,TRUE,FALSE,FALSE,included
17389,1,Breath Misattribution,TRUE,TRUE,FALSE,single_run_flagged
