study_id,id,Run,Condition,BlockNum,gender,SexualOrientation,Salience,Direction,fastORslow,TotalChange,Change,FoS_Response,Accuracy,Confidence,Mood,Arousal,FaceType,FaceRep,Attraction,flag_single_run,exclusion_reason
3,11111,run1,Breath Misattribution,0,2,0,High,Faster,1,0.8,-0.2,right,1,5,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,1,2,0,High,Slower,1,1.65,0.65,left,1,5,4,3,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,2,2,0,High,Faster,1,0.65,-0.35,up,0,7,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,3,2,0,Low,Slower,0,1.5,0.5,left,1,5,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,4,2,0,Low,Faster,0,0.8,-0.2,left,0,4,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,5,2,0,Low,Slower,0,1.65,0.65,up,0,8,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,6,2,0,Low,Faster,0,0.5,-0.5,left,0,5,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,7,2,0,Low,Faster,0,0.65,-0.35,right,1,5,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,8,2,0,High,Faster,1,0.35,-0.65,up,0,5,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,9,2,0,High,Slower,1,1.5,0.5,up,0,5,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,10,2,0,High,Slower,1,1.2,0.2,left,1,5,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,11,2,0,Low,Slower,0,1.35,0.35,left,1,5,5,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,12,2,0,High,Slower,1,1.35,0.35,up,0,5,3,3,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,13,2,0,Low,Faster,0,0.35,-0.65,up,0,5,3,5,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,14,2,0,Low,Slower,0,1.2,0.2,up,0,5,4,4,Average,1,0,FALSE,included
3,11111,run1,Breath Misattribution,15,2,0,High,Faster,1,0.5,-0.5,right,1,5,3,4,Average,1,0,FALSE,included
3,16261,run1,Breath Misattribution,0,2,0,Low,Slower,0,1.5,0.5,up,0,4,5,2,Average,1,6,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,1,2,0,High,Faster,1,0.5,-0.5,right,1,8,6,5,Average,1,2,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,2,2,0,High,Faster,1,0.35,-0.65,right,1,9,3,8,Average,1,8,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,3,2,0,High,Faster,1,0.65,-0.35,left,0,8,6,2,Average,1,2,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,4,2,0,Low,Slower,0,1.65,0.65,left,1,5,5,1,Average,1,1,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,5,2,0,High,Slower,1,1.5,0.5,up,0,7,5,2,Average,1,3,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,6,2,0,Low,Slower,0,1.2,0.2,left,1,3,4,1,Average,1,3,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,7,2,0,Low,Faster,0,0.8,-0.2,right,1,5,6,6,Average,1,2,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,8,2,0,Low,Slower,0,1.35,0.35,right,0,7,2,8,Average,1,5,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,9,2,0,High,Faster,1,0.8,-0.2,left,0,6,3,4,Average,1,4,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,10,2,0,High,Slower,1,1.65,0.65,left,1,9,6,2,Average,1,2,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,11,2,0,High,Slower,1,1.35,0.35,left,1,7,8,3,Average,1,4,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,12,2,0,Low,Faster,0,0.65,-0.35,left,0,3,9,2,Average,1,0,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,13,2,0,High,Slower,1,1.2,0.2,right,0,6,6,2,Average,1,1,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,14,2,0,Low,Faster,0,0.35,-0.65,up,0,5,5,3,Average,1,6,FALSE,no_questionnaire_data
3,16261,run1,Breath Misattribution,15,2,0,Low,Faster,0,0.5,-0.5,right,1,3,5,2,Average,1,5,FALSE,no_questionnaire_data
3,16271,run1,Breath Misattribution,0,1,0,Low,Faster,0,0.8,-0.2,up,0,8,5,1,Average,1,3,FALSE,included
3,16271,run1,Breath Misattribution,1,1,0,High,Slower,1,1.2,0.2,left,1,6,5,1,Average,1,3,FALSE,included
3,16271,run1,Breath Misattribution,2,1,0,Low,Faster,0,0.65,-0.35,up,0,7,5,1,Average,1,4,FALSE,included
3,16271,run1,Breath Misattribution,3,1,0,High,Faster,1,0.35,-0.65,right,1,8,5,1,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,4,1,0,High,Slower,1,1.35,0.35,left,1,7,5,1,Average,1,3,FALSE,included
3,16271,run1,Breath Misattribution,5,1,0,Low,Slower,0,1.5,0.5,up,0,8,4,1,Average,1,3,FALSE,included
3,16271,run1,Breath Misattribution,6,1,0,High,Slower,1,1.65,0.65,left,1,9,4,4,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,7,1,0,High,Faster,1,0.5,-0.5,right,1,8,4,1,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,8,1,0,Low,Faster,0,0.35,-0.65,up,0,6,4,1,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,9,1,0,Low,Slower,0,1.2,0.2,up,0,6,4,1,Average,1,1,FALSE,included
3,16271,run1,Breath Misattribution,10,1,0,High,Faster,1,0.8,-0.2,up,0,7,4,1,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,11,1,0,Low,Slower,0,1.35,0.35,left,1,5,4,1,Average,1,1,FALSE,included
3,16271,run1,Breath Misattribution,12,1,0,Low,Slower,0,1.65,0.65,up,0,7,4,1,Average,1,2,FALSE,included
3,16271,run1,Breath Misattribution,13,1,0,High,Faster,1,0.65,-0.35,right,1,6,4,1,Average,1,1,FALSE,included
3,16271,run1,Breath Misattribution,14,1,0,High,Slower,1,1.5,0.5,left,1,8,4,1,Average,1,1,FALSE,included
3,16271,run1,Breath Misattribution,15,1,0,Low,Faster,0,0.5,-0.5,up,0,5,4,1,Average,1,1,FALSE,included
3,16283,run1,Breath Misattribution,0,2,1,Low,Faster,0,0.8,-0.2,up,0,5,5,4,Average,1,4,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,1,2,1,High,Slower,1,1.2,0.2,left,1,6,5,3,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,2,2,1,High,Faster,1,0.8,-0.2,left,0,7,5,3,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,3,2,1,High,Slower,1,1.65,0.65,left,1,7,5,4,Average,1,5,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,4,2,1,High,Slower,1,1.5,0.5,left,1,4,5,3,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,5,2,1,Low,Faster,0,0.35,-0.65,up,0,5,5,1,Average,1,5,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,6,2,1,High,Faster,1,0.65,-0.35,right,1,6,5,2,Average,1,6,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,7,2,1,Low,Slower,0,1.35,0.35,left,1,5,5,2,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,8,2,1,Low,Slower,0,1.2,0.2,up,0,4,5,3,Average,1,4,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,9,2,1,Low,Faster,0,0.5,-0.5,up,0,6,5,3,Average,1,2,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,10,2,1,Low,Slower,0,1.65,0.65,up,0,6,5,3,Average,1,7,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,11,2,1,Low,Faster,0,0.65,-0.35,up,0,4,5,3,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,12,2,1,High,Faster,1,0.35,-0.65,right,1,7,5,4,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,13,2,1,High,Slower,1,1.35,0.35,left,1,8,5,3,Average,1,5,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,14,2,1,Low,Slower,0,1.5,0.5,left,1,4,5,1,Average,1,3,FALSE,no_questionnaire_data
3,16283,run1,Breath Misattribution,15,2,1,High,Faster,1,0.5,-0.5,right,1,7,5,4,Average,1,5,FALSE,no_questionnaire_data
3,16300,run1,Breath Misattribution,0,2,0,Low,Slower,0,1.2,0.2,left,1,7,7,3,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,1,2,0,Low,Slower,0,1.5,0.5,left,1,7,6,2,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,2,2,0,Low,Faster,0,0.35,-0.65,right,1,7,7,5,Average,1,5,FALSE,included
3,16300,run1,Breath Misattribution,3,2,0,High,Faster,1,0.8,-0.2,left,0,7,6,3,Average,1,2,FALSE,included
3,16300,run1,Breath Misattribution,4,2,0,Low,Slower,0,1.65,0.65,up,0,5,6,4,Average,1,3,FALSE,included
3,16300,run1,Breath Misattribution,5,2,0,High,Faster,1,0.65,-0.35,right,1,5,6,6,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,6,2,0,High,Slower,1,1.35,0.35,left,1,7,6,3,Average,1,7,FALSE,included
3,16300,run1,Breath Misattribution,7,2,0,Low,Faster,0,0.65,-0.35,left,0,6,6,3,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,8,2,0,High,Slower,1,1.65,0.65,left,1,7,6,2,Average,1,3,FALSE,included
3,16300,run1,Breath Misattribution,9,2,0,High,Faster,1,0.35,-0.65,right,1,7,7,5,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,10,2,0,High,Faster,1,0.5,-0.5,right,1,5,6,4,Average,1,3,FALSE,included
3,16300,run1,Breath Misattribution,11,2,0,Low,Faster,0,0.8,-0.2,left,0,5,6,3,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,12,2,0,Low,Slower,0,1.35,0.35,left,1,6,5,3,Average,1,3,FALSE,included
3,16300,run1,Breath Misattribution,13,2,0,High,Slower,1,1.5,0.5,up,0,5,5,2,Average,1,4,FALSE,included
3,16300,run1,Breath Misattribution,14,2,0,High,Slower,1,1.2,0.2,left,1,6,5,2,Average,1,3,FALSE,included
3,16300,run1,Breath Misattribution,15,2,0,Low,Faster,0,0.5,-0.5,up,0,4,5,2,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,0,1,0,High,Faster,1,0.5,-0.5,right,1,7,6,7,Average,1,8,FALSE,included
3,16323,run1,Breath Misattribution,1,1,0,Low,Slower,0,1.2,0.2,up,0,6,6,7,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,2,1,0,High,Faster,1,0.65,-0.35,right,1,8,7,7,Average,1,5,FALSE,included
3,16323,run1,Breath Misattribution,3,1,0,High,Slower,1,1.5,0.5,left,1,6,7,8,Average,1,7,FALSE,included
3,16323,run1,Breath Misattribution,4,1,0,Low,Faster,0,0.65,-0.35,up,0,4,6,6,Average,1,5,FALSE,included
3,16323,run1,Breath Misattribution,5,1,0,Low,Slower,0,1.35,0.35,left,1,4,6,6,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,6,1,0,Low,Slower,0,1.5,0.5,left,1,4,5,5,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,7,1,0,Low,Faster,0,0.8,-0.2,right,1,5,5,6,Average,1,5,FALSE,included
3,16323,run1,Breath Misattribution,8,1,0,Low,Faster,0,0.5,-0.5,up,0,5,5,5,Average,1,5,FALSE,included
3,16323,run1,Breath Misattribution,9,1,0,High,Faster,1,0.35,-0.65,right,1,9,7,7,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,10,1,0,High,Slower,1,1.2,0.2,left,1,9,5,5,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,11,1,0,High,Slower,1,1.65,0.65,left,1,7,6,8,Average,1,6,FALSE,included
3,16323,run1,Breath Misattribution,12,1,0,High,Slower,1,1.35,0.35,left,1,7,7,7,Average,1,7,FALSE,included
