study_id,id,gender,SexualOrientation,flag_single_run,exclusion_reason,Attraction_Average_run1,Attraction_Average_run2,Attraction_High_run1,Attraction_High_run2,mean_Arousal_run1,mean_Arousal_run2,mean_Mood_run1,mean_Mood_run2,mean_Confidence_run1,mean_Confidence_run2,mean_Accuracy,Awareness,Birth_Year,Gender,Orientation,Ethnicity,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,PANAS_Pos,PANAS_Neg,PSS_total,Stress_1
3,11111,2,0,FALSE,included,0.03125,0.0625,0.09375,0.09375,4.3125,4.75,4.1875,5.0625,5.25,6.0625,0.34375,-0.3939264443337854,1999,2,1,6,115,20,11,5,23,20,9,10,17,2.8,2.6666666666666665,22,79
3,16261,2,0,FALSE,no_questionnaire_data,3.625,2.96875,4.65625,3.96875,3.3125,4.75,5.25,4.8125,5.9375,6.75,0.5,0.14952311718411226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,16271,1,0,FALSE,included,1.9375,1,1.96875,1.21875,1.1875,1,4.3125,3.625,6.9375,5.8125,0.53125,0.25089196621550997,1996,1,1,4,134,17,7,8,32,24,13,12,21,3,3.3333333333333335,26,80
3,16283,2,1,FALSE,no_questionnaire_data,3.96875,3.8125,4.40625,4.09375,2.875,2.9375,5,5,5.6875,5.625,0.59375,0.22789250847244552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,16300,2,0,FALSE,included,4.375,4.71875,5,4.96875,3.25,1.875,5.9375,5.375,6,5.625,0.5,0.5986843400892496,2000,2,1,1,119,18,4,14,12,26,11,12,22,2.8,3,32,74
3,16323,1,0,FALSE,included,6.125,5.90625,6.5,6.25,6.6875,3.125,6.0625,5.125,6.125,4.125,0.625,0.4769525669923912,1997,1,1,5,92,14,3,11,17,7,16,5,19,3.1,1.6666666666666667,14,70
3,16327,1,0,FALSE,included,3.5625,4.78125,4.03125,5.1875,5.1875,5.3125,5.4375,5.3125,7.6875,6.8125,0.625,0.5274096316339226,1995,1,1,1,137,24,5,11,32,19,15,13,18,3.9,3.2222222222222223,20,100
3,16360,2,0,FALSE,included,3.375,2.78125,4.40625,3.90625,5.0625,2.8125,6.25,5.6875,8.375,8.6875,0.53125,-0.0035061829075721408,1998,2,1,6,136,19,8,3,34,29,14,14,15,4.2,3.111111111111111,25,80
3,16376,2,0,FALSE,included,3.25,3.15625,3.34375,3.09375,4.9375,3.875,8,8,5.8125,5.5,0.4375,0.44745416227125595,1998,2,1,5,80,9,7,13,14,18,6,3,10,4,1.2222222222222223,9,40
3,16395,2,0,FALSE,included,5.375,5.21875,5.59375,5.4375,5.0625,4.3125,8,8,7.9375,7.6875,0.53125,0.21596299504635683,1998,2,1,8,119,13,4,9,27,21,14,12,19,3.8,2.5555555555555554,22,78
