study_id,id,Group,Trial,Condition,Salience,Direction,TrialDirection,Level,Change,Accuracy,Confidence,Arousal,flag_zero_variance,exclusion_reason
4,10069,Visual,0,highSalienceAcc,High,Faster,Faster,0.422912,-0.422912,1,6,5,FALSE,included
4,10069,Visual,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,1,5,5,FALSE,included
4,10069,Visual,2,highSalienceAcc,High,Faster,Faster,0.194847948,-0.194847948,1,4,5,FALSE,included
4,10069,Visual,3,highSalienceAcc,High,Faster,Faster,0.115692875,-0.115692875,0,5,4,FALSE,included
4,10069,Visual,4,highSalienceAcc,High,Faster,Faster,0.254200718,-0.254200718,1,4,5,FALSE,included
4,10069,Visual,5,highSalienceAcc,High,Faster,Faster,0.205495959,-0.205495959,1,4,5,FALSE,included
4,10069,Visual,6,highSalienceAcc,High,Faster,Faster,0.16847008,-0.16847008,0,5,5,FALSE,included
4,10069,Visual,7,highSalienceAcc,High,Faster,Faster,0.236876035,-0.236876035,1,5,5,FALSE,included
4,10069,Visual,8,highSalienceAcc,High,NoChange,Faster,0.208658445,0,0,4,5,FALSE,included
4,10069,Visual,9,highSalienceAcc,High,Faster,Faster,0.264639721,-0.264639721,1,5,5,FALSE,included
4,10069,Visual,0,highSalienceDec,High,NoChange,Slower,0.422912,0,1,4,5,FALSE,included
4,10069,Visual,1,highSalienceDec,High,Slower,Slower,0.290866253,0.290866253,1,5,5,FALSE,included
4,10069,Visual,2,highSalienceDec,High,Slower,Slower,0.194847948,0.194847948,1,5,4,FALSE,included
4,10069,Visual,3,highSalienceDec,High,Slower,Slower,0.115692875,0.115692875,0,4,4,FALSE,included
4,10069,Visual,4,highSalienceDec,High,Slower,Slower,0.254200718,0.254200718,1,5,4,FALSE,included
4,10069,Visual,5,highSalienceDec,High,Slower,Slower,0.205495959,0.205495959,1,5,4,FALSE,included
4,10069,Visual,6,highSalienceDec,High,Slower,Slower,0.16847008,0.16847008,1,4,4,FALSE,included
4,10069,Visual,7,highSalienceDec,High,Slower,Slower,0.136148612,0.136148612,0,4,4,FALSE,included
4,10069,Visual,8,highSalienceDec,High,Slower,Slower,0.205878349,0.205878349,0,4,4,FALSE,included
4,10069,Visual,9,highSalienceDec,High,NoChange,Slower,0.268224082,0,1,4,4,FALSE,included
4,10069,Visual,0,lowSalienceAcc,Low,NoChange,Faster,0.422912,0,1,4,4,FALSE,included
4,10069,Visual,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,1,5,4,FALSE,included
4,10069,Visual,2,lowSalienceAcc,Low,Faster,Faster,0.194847948,-0.194847948,0,5,5,FALSE,included
4,10069,Visual,3,lowSalienceAcc,Low,NoChange,Faster,0.370126814,0,1,5,5,FALSE,included
4,10069,Visual,4,lowSalienceAcc,Low,Faster,Faster,0.306922398,-0.306922398,1,5,5,FALSE,included
4,10069,Visual,5,lowSalienceAcc,Low,Faster,Faster,0.263654541,-0.263654541,1,5,5,FALSE,included
4,10069,Visual,6,lowSalienceAcc,Low,Faster,Faster,0.228700435,-0.228700435,0,5,5,FALSE,included
4,10069,Visual,7,lowSalienceAcc,Low,Faster,Faster,0.306853224,-0.306853224,1,5,5,FALSE,included
4,10069,Visual,8,lowSalienceAcc,Low,Faster,Faster,0.279386629,-0.279386629,0,5,5,FALSE,included
4,10069,Visual,9,lowSalienceAcc,Low,Faster,Faster,0.343026492,-0.343026492,1,5,5,FALSE,included
4,10069,Visual,0,lowSalienceDec,Low,NoChange,Slower,0.422912,0,1,5,5,FALSE,included
4,10069,Visual,1,lowSalienceDec,Low,Slower,Slower,0.290866253,0.290866253,1,5,4,FALSE,included
4,10069,Visual,2,lowSalienceDec,Low,Slower,Slower,0.194847948,0.194847948,1,5,4,FALSE,included
4,10069,Visual,3,lowSalienceDec,Low,Slower,Slower,0.115692875,0.115692875,0,5,5,FALSE,included
4,10069,Visual,4,lowSalienceDec,Low,Slower,Slower,0.254200718,0.254200718,0,5,5,FALSE,included
4,10069,Visual,5,lowSalienceDec,Low,Slower,Slower,0.380480619,0.380480619,1,5,4,FALSE,included
4,10069,Visual,6,lowSalienceDec,Low,Slower,Slower,0.32876206,0.32876206,0,5,4,FALSE,included
4,10069,Visual,7,lowSalienceDec,Low,NoChange,Slower,0.441260742,0,1,5,4,FALSE,included
4,10069,Visual,8,lowSalienceDec,Low,Slower,Slower,0.394705885,0.394705885,1,4,4,FALSE,included
4,10069,Visual,9,lowSalienceDec,Low,Slower,Slower,0.363964321,0.363964321,1,5,4,FALSE,included
4,10075,Breath,0,highSalienceAcc,High,Faster,Faster,0.422912,-0.422912,1,4,4,FALSE,included
4,10075,Breath,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,0,4,4,FALSE,included
4,10075,Breath,2,highSalienceAcc,High,Faster,Faster,0.513886737,-0.513886737,1,3,4,FALSE,included
4,10075,Breath,3,highSalienceAcc,High,Faster,Faster,0.435497046,-0.435497046,1,3,4,FALSE,included
